Administración;Departamento;Convocatoria;Bases reguladoras;Aplicación presupuestaria;Fecha de concesión;Beneficiario;Importe;Instrumento;Ayuda equivalente
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110567204;08/01/2024;B48492391 HOTEL ARRIAGA S.L.;88;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;88
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568238;08/01/2024;B48492391 HOTEL ARRIAGA S.L.;158;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;158
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568944;08/01/2024;B48492391 HOTEL ARRIAGA S.L.;352;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;352
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568950;10/01/2024;B48492391 HOTEL ARRIAGA S.L.;350;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;350
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS FAMILIAS DESAHUCIADAS CON MENORES A CARGO 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569031;11/01/2024;B95688248 PIL PIL HOSTEL SL;2015;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2015
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS FAMILIAS DESAHUCIADAS CON MENORES A CARGO 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569038;11/01/2024;B95688248 PIL PIL HOSTEL SL;2635;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2635
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS FAMILIAS DESAHUCIADAS CON MENORES A CARGO 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569044;11/01/2024;B95688248 PIL PIL HOSTEL SL;2635;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2635
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS FAMILIAS DESAHUCIADAS CON MENORES A CARGO 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569049;11/01/2024;B95688248 PIL PIL HOSTEL SL;1170;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1170
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568957;12/01/2024;B95688248 PIL PIL HOSTEL SL;510;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;510
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568964;12/01/2024;B95688248 PIL PIL HOSTEL SL;2635;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2635
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568971;12/01/2024;B95688248 PIL PIL HOSTEL SL;2635;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2635
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568977;12/01/2024;B95688248 PIL PIL HOSTEL SL;3410;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;3410
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568984;12/01/2024;B95688248 PIL PIL HOSTEL SL;2790;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2790
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568989;12/01/2024;B95688248 PIL PIL HOSTEL SL;2790;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2790
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568994;12/01/2024;B95688248 PIL PIL HOSTEL SL;1754.99;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1754.99
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568997;12/01/2024;B95688248 PIL PIL HOSTEL SL;1754.99;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1754.99
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569002;12/01/2024;B95688248 PIL PIL HOSTEL SL;1104.99;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1104.99
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569004;12/01/2024;B95688248 PIL PIL HOSTEL SL;80;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;80
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569009;12/01/2024;B95688248 PIL PIL HOSTEL SL;75;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;75
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569012;12/01/2024;B48492391 HOTEL ARRIAGA S.L.;150;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;150
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569017;12/01/2024;B48492391 HOTEL ARRIAGA S.L.;1860;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1860
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569026;12/01/2024;B48492391 HOTEL ARRIAGA S.L.;1550;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1550
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS INDIVIDUALES ADQUISICION VESTIDO 2023;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569053;12/01/2024;F95187183 AURRERANTZ S COOP;9511.6;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;9511.6
BILBAO;AYUNTAMIENTO DE BILBAO;ASIGNACIONES A LOS GRUPOS POLITICOS MUNICIPALES 2024;https://www.boe.es/buscar/pdf/1985/BOE-A-1985-5392-consolidado.pdf;SB100012986;19/01/2024;G95907630 GRUPO MUNICIPAL EAJ-PNV DE BILBAO;15548.56;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;15548.56
BILBAO;AYUNTAMIENTO DE BILBAO;ASIGNACIONES A LOS GRUPOS POLITICOS MUNICIPALES 2024;https://www.boe.es/buscar/pdf/1985/BOE-A-1985-5392-consolidado.pdf;SB100012987;19/01/2024;G56164577 GRUPO MUNICIPAL EUSKAL HERRIA BILDU (EHBILDU) DE BILBAO;8659.54;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;8659.54
BILBAO;AYUNTAMIENTO DE BILBAO;ASIGNACIONES A LOS GRUPOS POLITICOS MUNICIPALES 2024;https://www.boe.es/buscar/pdf/1985/BOE-A-1985-5392-consolidado.pdf;SB100012990;19/01/2024;G13948377 GRUPO MUNICIPAL SOCIALISTAS VASCOS DE BILBAO;7511.37;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;7511.37
BILBAO;AYUNTAMIENTO DE BILBAO;ASIGNACIONES A LOS GRUPOS POLITICOS MUNICIPALES 2024;https://www.boe.es/buscar/pdf/1985/BOE-A-1985-5392-consolidado.pdf;SB100012993;19/01/2024;G95655908 GRUPO POLITICO MUNICIPAL DEL PARTIDO POPULAR DE BILBAO;6363.2;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;6363.2
BILBAO;AYUNTAMIENTO DE BILBAO;ASIGNACIONES A LOS GRUPOS POLITICOS MUNICIPALES 2024;https://www.boe.es/buscar/pdf/1985/BOE-A-1985-5392-consolidado.pdf;SB100012994;19/01/2024;G13960901 GRUPO MUNICIPAL ELKARREKIN BILBAO;4066.86;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;4066.86
BILBAO;BILBAO EKINTZA;ACUERDO DE COLABORACIÓN ENTRE BILBAO EKINTZA, EPEL Y ASOCIACIÓN PLATAFORMA PÚBLICO-PRIVADA PARA LA PROMOCIÓN DE LA ACTIVIDAD COMERCIAL Y TURÍSTICA DE BILBAO - BILBAO DENDAK, PARA LA “PROMOCIÓN Y DINAMIZACIÓN DEL COMERCIO URBANO EN BILBAO 2024;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=c971de5668231ef1d02361f364de70a2;SB99926365;23/01/2024;G95129482 ASOCIACIÓN PLATAFORMA PÚBLICO-PRIVADA PARA LA PROMOCIÓN DE LA ACTIVIDAD COMERCIAL Y TURÍSTICA DE BILBAO - BILBAO DENDAK;260000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;260000
BILBAO;AYUNTAMIENTO DE BILBAO;MUSEO BELLAS ARTES (FUNDACIóN);https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100012952;24/01/2024;G95122321 FUNDACION MUSEO DE BELLAS ARTES DE BILBAO;2200000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2200000
BILBAO;AYUNTAMIENTO DE BILBAO;FUNDACIóN BILBAO ARTE;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100012953;24/01/2024;G95138988 FUNDACION BILBAO ARTE FUNDACION;1179000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1179000
BILBAO;AYUNTAMIENTO DE BILBAO;ORQUESTA SINFóNICA DE BILBAO (BOS);https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100012956;24/01/2024;G95449021 FUNDACION JUAN CRISOSTOMO DE ARRIAGA-ORQUESTA SINFONICA DE BILBAO;2993973;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2993973
BILBAO;AYUNTAMIENTO DE BILBAO;SUBVENCIóN NOMINATIVA PARA BIZKAIKO DANTZARIEN BILTZARRA;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608208;25/01/2024;G48263545 BIZKAIKO DANTZARIEN BILTZARRA;38000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;38000
BILBAO;BILBAO EKINTZA;ACUERDO DE COLABORACIÓN ENTRE BILBAO EKINTZA, EPEL Y ASOCIACIÓN PARA LA PROMOCIÓN DE LOS BARRIOS HISTÓRICOS DE BILBAO “BILBAOHISTORIKO ELKARTEA” EN EL MARCO DE LAS ACCIONES A REALIZAR DURANTE EL AÑO 2024;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=c971de5668231ef1d02361f364de70a2;SB99926366;29/01/2024;"G95678702 ASOCIACIÓN ""BILBAOHISTORIKO ELKARTEA""";55000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;55000
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS PARA REALOJOS EN SITUACION DE URGENCIA - 2024;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100012959;29/01/2024;B48492391 HOTEL ARRIAGA S.L.;150;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;150
BILBAO;AYUNTAMIENTO DE BILBAO;ASOCIACIóN LA RISA DE BILBAO: FESTIVAL DE LITERATURA CON HUMOR;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608182;31/01/2024;G95600581 ASOC. LITERARIA LA RISA DE BILBAO BILBOKO BARREA;69000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;69000
BILBAO;AYUNTAMIENTO DE BILBAO;BIZKAIKO DANTZARIEN BILTZARRA: PROGRAMA DANTZA ESKOLETARA;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608185;31/01/2024;G48263545 BIZKAIKO DANTZARIEN BILTZARRA;18000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;18000
BILBAO;AYUNTAMIENTO DE BILBAO;JUVENTUDES MUSICALES DE BILBAO: PROMOCIóN JóVENES MúSICOS;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608187;31/01/2024;G48200448 JUVENTUDES MUSICALES DE BILBAO BILBOKO G AZTEDI MUSIKAZALEAK;3610;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;3610
BILBAO;AYUNTAMIENTO DE BILBAO;ASOCIACIóN PUERTAS ABIERTAS-LA FUNDICIóN;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608189;31/01/2024;G48260582 PUERTAS ABIERTAS;51000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;51000
BILBAO;AYUNTAMIENTO DE BILBAO;TRANSFERENCIA CORRIENTE BILBAO BIZKAIA MUSEOAK;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608195;31/01/2024;B95746368 BILBAO BIZKAIA MUSEOAK SL;1195000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1195000
BILBAO;AYUNTAMIENTO DE BILBAO;TRANSFERENCIA CORRIENTE MUSEO MARíTIMO;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608197;31/01/2024;G48891725 FUNDACION MUSEO MARITIMO RIA DE BILBAO;300000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;300000
BILBAO;AYUNTAMIENTO DE BILBAO;PROYECTO GAZTEZURBI;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608204;31/01/2024;G48300404 ASOC PARA EL DESARROLLO COMUNITARIO GOZALDI GAZTE ELKARTEA;10900;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;10900
BILBAO;AYUNTAMIENTO DE BILBAO;FUNDACIóN BLAS DE OTERO: PROGRAMACIóN ANUAL;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608173;07/02/2024;G95107744 FUNDACION BLAS DE OTERO;40640;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;40640
BILBAO;AYUNTAMIENTO DE BILBAO;ZINEGOAK: GESTIóN DE PROYECCIONES Y SALAS DE CINE;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608176;07/02/2024;G95026639 ASOCIACION HEGOAK-ALDE;20000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;20000
BILBAO;AYUNTAMIENTO DE BILBAO;ASOCIACIóN BILBAINA AMIGOS DE LA ÓPERA (ABAO);https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608200;07/02/2024;G48110779 ASOCIACION BILBAINA DE AMIGOS DE LA OPERA;255000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;255000
BILBAO;AYUNTAMIENTO DE BILBAO;50 ANIVERSARIO DE LA SEMANA CORAL VIZCAíNA;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608202;07/02/2024;G48904502 ASOC BIZKAIKO ABESBATZEN ASTEA - SEMANA CORAL VIZCAINA;5000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;5000
BILBAO;AYUNTAMIENTO DE BILBAO;HARRAPAZANK;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608206;07/02/2024;V48886725 EUSKARA ELKARTEEN TOPAGUNEA;94000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;94000
BILBAO;AYUNTAMIENTO DE BILBAO;IKUSI ETA IKASI;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608207;07/02/2024;V48886725 EUSKARA ELKARTEEN TOPAGUNEA;92200;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;92200
BILBAO;AYUNTAMIENTO DE BILBAO;TRANSFERENCIA CAPITAL MUSEO DE BELLAS ARTES;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608209;07/02/2024;G95122321 FUNDACION MUSEO DE BELLAS ARTES DE BILBAO;468335;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;468335
BILBAO;AYUNTAMIENTO DE BILBAO;TRANSFERENCIA DE CAPITAL ORQUESTA SINFóNICA DE BILBAO (BOS);https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608211;07/02/2024;G95449021 FUNDACION JUAN CRISOSTOMO DE ARRIAGA-ORQUESTA SINFONICA DE BILBAO;21948;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;21948
BILBAO;AYUNTAMIENTO DE BILBAO;TRANSFERENCIA CAPITAL BILBAO ARTE;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608212;07/02/2024;G95138988 FUNDACION BILBAO ARTE FUNDACION;100000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;100000
BILBAO;AYUNTAMIENTO DE BILBAO;TRANSFERENCIA CAPITAL BILBAO BIZKAIA MUSEOAK;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100608214;07/02/2024;B95746368 BILBAO BIZKAIA MUSEOAK SL;275000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;275000
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS PARA REALOJOS EN SITUACION DE URGENCIA - 2024;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100609266;07/02/2024;B48492391 HOTEL ARRIAGA S.L.;300;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;300
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS PARA REALOJOS EN SITUACION DE URGENCIA - 2024;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100609267;07/02/2024;B48492391 HOTEL ARRIAGA S.L.;1922;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1922
BILBAO;AYUNTAMIENTO DE BILBAO;CONCURSO CARTELES CARNAVALES 2024;https://www.boe.es/diario_boe/txt.php?id=BOE-A-2003-20977;SB100609326;07/02/2024;***3986** ALBERTO MARTINEZ ORTIZ;2000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2000
BILBAO;AYUNTAMIENTO DE BILBAO;PROGRAMA LESBIANISMO Y GéNERO;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB105006798;07/02/2024;G95026639 ASOCIACION HEGOAK-ALDE;6000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;6000
BILBAO;BILBAO EKINTZA;ACUERDO ENTRE BILBAO EKINTZA, EPEL Y ASOCIACIÓN DE COMERCIANTES Y EMPRESAS DE BILBAO LA VIEJA, SAN FRANCISCO Y ZABALA PARA LA COLABORACIÓN Y REALIZACIÓN DE UN PROGRAMA DE DINAMIZACIÓN E IMPULSO DEL SECTOR COMERCIAL BILBAO LA VIEJA, SAN FRANCISCO Y ZABALA;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=c971de5668231ef1d02361f364de70a2;SB100384861;08/02/2024;G48786131 ASOCIACIÓN DE COMERCIANTES Y EMPRESAS DE SAN FRANCISCO, BILBAO LA VIEJA Y ZABALA;61600;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;61600
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS PARA REALOJOS EN SITUACION DE URGENCIA - 2024;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2023/12/29/II-6112_cas.pdf?hash=ad5e4415caed748e733f06496c2ddbf1;SB100609269;09/02/2024;B48492391 HOTEL ARRIAGA S.L.;250;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;250
BILBAO;BILBAO EKINTZA;Programa de ayudas a la contratación de Bilbao Ekintza 2023;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2016/07/20160720a138.pdf?hash=5a05d791ab3b8dd653e7e3a4e0baccfa#page=43;SB111755988;09/02/2024;***8371** JOSE MANUEL GARCIA RUIZ;7500;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;7500
BILBAO;BILBAO EKINTZA;Programa de ayudas a la contratación de Bilbao Ekintza 2023;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2016/07/20160720a138.pdf?hash=5a05d791ab3b8dd653e7e3a4e0baccfa#page=43;SB111755989;09/02/2024;A48140677 ALSE SEGURIDAD, S.A.;4000;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;4000
BILBAO;BILBAO EKINTZA;Programa de ayudas a la contratación de Bilbao Ekintza 2023;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2016/07/20160720a138.pdf?hash=5a05d791ab3b8dd653e7e3a4e0baccfa#page=43;SB111755990;09/02/2024;B95798708 MARZANA 16, S.L.;6960;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;6960
