"Num. registro";"Ejercicio";"A) ACTIVO NO CORRIENTE";"I. Inmovilizado intangible";"II. Bienes del Patrimonio Histórico";"III. Inmovilizado material";"IV. Inversiones inmobiliarias";"V. Inversiones en entidades del grupo y asociadas a largo plazo";"VI. Inversiones financieras a largo plazo";"VII. Activos por impuesto diferido";"B) ACTIVO CORRIENTE";"I. Activos no corrientes mantenidos para la venta";"II. Existencias";"III. Usuarios y otros deudores de la actividad propia";"IV. Deudores comerciales y otras cuentas a cobrar";"V. Inversiones en entidades del grupo y asociadas a corto plazo";"VI. Inversiones financieras a corto plazo";"VII. Periodificaciones a corto plazo";"VIII. Efectivo y otros activos líquidos equivalentes";"TOTAL ACTIVO (A+B)";"A) PATRIMONIO NETO";"A-1) Fondos propios";"I. Dotación Fundacional / Fondo social";"II. Reservas";"III. Excedentes de ejercicios anteriores (*)";"IV. Excedente del ejercicio (*)";"A-2) Ajustes por cambios de valor (*)";"A-3) Subvenciones, donaciones y legados recibidos";"B) PASIVO NO CORRIENTE";"I. Provisiones a largo plazo";"II. Deudas a largo plazo";"III. Deudas con entidades del grupo y asociadas a largo plazo";"IV. Pasivos por impuesto diferido";"V. Periodificaciones a largo plazo";"C) PASIVO CORRIENTE";"I. Pasivos vinculados con activos no corrientes mantenidos para la venta";"II. Provisiones a corto plazo";"III. Deudas a corto plazo";"IV. Deudas con entidades del grupo y asociadas a corto plazo";"V. Beneficiarios-Acreedores";"VI. Acreedores comerciales y otras cuentas a pagar";"TOTAL PATRIMONIO NETO Y PASIVO (A+B+C)"
"AS.R.P.G.01425";"2024";"2.132.161,31 €";"672,50 €";"0";"2.089.414,75 €";"42.074,06 €";"0";"0";"0";"188.251,14 €";"0";"0";"0";"17.766,32 €";"0";"0";"0";"169.038,21 €";"2.320.412,45 €";"2.285.613,47 €";"2.285.613,47 €";"102.172,06 €";"4.335.253,33 €";"-2.046.283,98 €";"-105.527,94 €";"0";"0";"3.366,67 €";"0";"1.800,00 €";"0";"1.566,67 €";"0";"31432.31";"0";"0";"7237.89";"0";"0";"24.194,42 €";"2.320.412,45 €"
"AS/B/10621/2003";"2024";"578,00 €";"0";"0";"0";"0";"0";"578,00 €";"0";"25.535,76 €";"0";"0";"0";"15.826,17 €";"0";"0";"0";"9.569,59 €";"26.113,76 €";"9.809,53 €";"9.809,53 €";"21.527,53 €";"0";"-7.661,13 €";"-4.056,87 €";"0";"0";"0";"0";"0";"0";"0";"0";"16304.23";"0";"0";"0";"0";"0";"16.304,23 €";"26.113,76 €"
"AS/G/05490/1995";"2024";"0";"0";"0";"0";"0";"0";"0";"0";"31.087,00 €";"0";"0";"0";"14.327,00 €";"0";"0";"0";"16.760,00 €";"31.087,00 €";"28.124,00 €";"28.124,00 €";"0";"56.739,00 €";"-25.747,00 €";"-2.868,00 €";"0";"0";"0";"0";"0";"0";"0";"0";"2963";"0";"0";"2963";"0";"0";"0";"31.087,00 €"
"AS/G/21817/2018";"2024";"0";"0";"0";"0";"0";"0";"0";"0";"28.243,61 €";"0";"0";"0";"0";"0";"0";"0";"28.243,61 €";"28.243,61 €";"28.243,61 €";"28.243,61 €";"0";"0";"33.319,79 €";"-5.076,18 €";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28.243,61 €"
"AS/B/04348/1994";"2024";"84.448,47 €";"0";"0";"40.823,70 €";"0";"0";"43.624,77 €";"0";"184.908,78 €";"0";"0";"0";"7.678,18 €";"0";"0";"0";"177.230,60 €";"269.357,25 €";"258.149,87 €";"249.749,87 €";"0";"0";"246.132,66 €";"3.617,21 €";"0";"8.400,00 €";"0";"0";"0";"0";"0";"0";"11207.38";"0";"0";"0";"0";"0";"11.207,38 €";"269.357,25 €"
"AS/A/22271/2019";"2024";"745.440,00 €";"76.320,00 €";"0";"667.436,00 €";"0";"0";"1.684,00 €";"0";"4.267.125,00 €";"0";"3.312,00 €";"3.312,00 €";"1.807.426,00 €";"0";"0";"0";"2.456.387,00 €";"5.012.565,00 €";"811.871,00 €";"74.520,00 €";"3.000,00 €";"0";"52.951,00 €";"18.569,00 €";"0";"737.351,00 €";"1.975,00 €";"0";"1.975,00 €";"0";"0";"0";"4198719";"0";"0";"17549";"0";"0";"4.181.170,00 €";"5.012.565,00 €"
"AS.R.P.G.00350";"2024";"51.070,85 €";"0";"0";"51.070,85 €";"0";"0";"0";"0";"233.063,88 €";"0";"0";"0";"0";"0";"0";"73.470,11 €";"204.295,38 €";"284.134,73 €";"179.830,94 €";"179.830,94 €";"170.045,21 €";"0";"0";"9.785,73 €";"0";"0";"0";"0";"0";"0";"0";"0";"104303.79";"0";"0";"0";"0";"0";"30.833,68 €";"284.134,73 €"
"AS/B/17657/2013";"2024";"0";"0";"0";"0";"0";"0";"0";"0";"22.996,23 €";"0";"0";"0";"0";"0";"0";"0";"22.996,23 €";"22.996,23 €";"22.996,23 €";"22.996,23 €";"0";"0";"18.847,45 €";"4.148,78 €";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.996,23 €"
"AS/B/01661/1989";"2024";"162.985,38 €";"61.861,50 €";"0";"72.505,34 €";"0";"0";"28.618,54 €";"0";"773.453,06 €";"0";"0";"0";"15.779,02 €";"0";"0";"0";"757.674,04 €";"936.438,44 €";"635.946,46 €";"501.698,60 €";"493.073,29 €";"0";"0";"8.625,31 €";"0";"134.247,86 €";"0";"0";"0";"0";"0";"0";"300491.98";"0";"0";"100698.09";"0";"0";"199.793,89 €";"936.438,44 €"
"AS.R.P.B.01533";"2024";"165.712,59 €";",07 €";"0";"165.712,52 €";"0";"0";"0";"0";"286.666,61 €";"0";"0";"0";"24.066,12 €";"0";"0";"0";"235.040,53 €";"452.379,20 €";"436.612,33 €";"436.612,33 €";"191.157,58 €";"243.284,90 €";"0";"2.169,85 €";"0";"0";"0";"0";"0";"0";"0";"0";"15766.87";"0";"0";"150";"0";"0";"15.616,87 €";"452.379,20 €"
